epoch,step,train_loss
24,49,0.5814420580863953
49,99,0.049176447093486786
74,149,0.001940191606990993
99,199,0.0002594520337879658
124,249,0.0004397968586999923
149,299,0.00027792746550403535
174,349,0.0003474731929600239
199,399,0.00021112573449499905
224,449,0.007221453823149204
249,499,0.0006058331346139312
274,549,0.00042608892545104027
299,599,8.150778739945963e-05
324,649,0.00013251749624032527
349,699,0.0001249353081220761
374,749,0.00014347123214975
399,799,0.00012599193723872304
424,849,0.00015372270718216896
449,899,0.0007926906109787524
474,949,0.00013224573922343552
499,999,0.00022211937175597996
524,1049,4.796625944436528e-05
549,1099,0.00010837420268217102
574,1149,0.000606649206019938
599,1199,9.426112228538841e-05
624,1249,0.0006507564685307443
649,1299,2.9562377676484175e-05
674,1349,7.586568244732916e-05
699,1399,4.276165782357566e-05
724,1449,5.572400550590828e-05
749,1499,0.00011221456952625886
774,1549,0.0013078083284199238
799,1599,0.0006794643704779446
824,1649,0.00011542713764356449
849,1699,0.000110358334495686
874,1749,4.102733510080725e-05
899,1799,2.5464165446464904e-05
924,1849,8.870285819284618e-05
949,1899,5.5905678891576827e-05
974,1949,4.6595876483479515e-05
999,1999,0.0005537807592190802
1024,2049,5.727539610234089e-05
1049,2099,0.00018214303418062627
1074,2149,0.0003932205436285585
1099,2199,0.0006839404231868684
1124,2249,9.7060707048513e-05
1149,2299,5.825632979394868e-05
1174,2349,0.00014183630992192775
1199,2399,0.00010024736548075452
1224,2449,3.806919994531199e-05
1249,2499,6.984949141042307e-05
1274,2549,7.234360236907378e-05
1299,2599,0.0005390189471654594
1324,2649,0.0006644109962508082
1349,2699,0.00018034288950730115
1374,2749,0.00021110039961058646
1399,2799,3.2509055017726496e-05
1424,2849,0.0001265180908376351
1449,2899,9.15078489924781e-05
1474,2949,0.0003545752551872283
1499,2999,0.0005233261035755277
1524,3049,0.001670232624746859
1549,3099,0.0001492779265390709
1574,3149,0.00021720388031098992
1599,3199,0.0002625524648465216
1624,3249,0.000881531392224133
1649,3299,0.00023162162688095123
1674,3349,6.778510578442365e-05
1699,3399,6.719303200952709e-05
1724,3449,0.00014232980902306736
1749,3499,3.149330223095603e-05
1774,3549,0.0004581911489367485
1799,3599,3.832600123132579e-05
1824,3649,0.00013688339095097035
1849,3699,0.0001794098934624344
1874,3749,0.000336186436470598
1899,3799,5.7568191550672054e-05
1924,3849,0.00012145791697548702
1949,3899,2.8809503419324756e-05
1974,3949,0.0001054653330356814
1999,3999,5.224298365646973e-05
