epoch,step,train_loss
1,49,0.26944851875305176
3,99,0.23586510121822357
4,149,0.10015823692083359
6,199,0.03672713786363602
7,249,0.0782364159822464
9,299,0.044998899102211
10,349,0.1767481416463852
12,399,0.04423992335796356
14,449,0.06052051857113838
15,499,0.030028648674488068
17,549,0.053895577788352966
18,599,0.027873998507857323
20,649,0.04685354605317116
21,699,0.10244311392307281
23,749,0.023611953482031822
24,799,0.06919439882040024
26,849,0.0039612301625311375
28,899,0.009328249841928482
29,949,0.02129858359694481
31,999,0.036344755440950394
32,1049,0.01392058003693819
34,1099,0.01207523699849844
35,1149,0.017905278131365776
37,1199,0.003876610891893506
39,1249,0.021103255450725555
40,1299,0.00014297950838226825
42,1349,0.002952216425910592
43,1399,0.029750946909189224
45,1449,0.013306301087141037
46,1499,0.001550639164634049
48,1549,0.021703504025936127
49,1599,0.00015834570513106883
51,1649,0.004316738341003656
53,1699,0.004406536929309368
54,1749,0.007374506909400225
56,1799,0.007425353862345219
57,1849,0.0017332542920485139
59,1899,0.02070186287164688
60,1949,0.00183192640542984
62,1999,0.0005202387692406774
64,2049,0.003493874566629529
65,2099,0.007299130782485008
67,2149,0.0008295474690385163
68,2199,0.01381830032914877
70,2249,0.003138726344332099
71,2299,0.0006446638144552708
73,2349,0.002278614789247513
74,2399,2.88587216346059e-05
76,2449,0.0006823590374551713
78,2499,0.0009820708073675632
79,2549,0.0067161028273403645
81,2599,0.0015541398897767067
82,2649,0.006252392195165157
84,2699,0.002900337800383568
85,2749,0.0003088257508352399
87,2799,0.006131107918918133
89,2849,0.001105412608012557
90,2899,0.000925814441870898
92,2949,0.006576098967343569
93,2999,0.00011150254431413487
95,3049,0.006432929076254368
96,3099,0.0011261797044426203
98,3149,0.0008906706934794784
99,3199,0.001154904835857451
101,3249,0.0002292552962899208
103,3299,0.0015801152912899852
104,3349,0.0005416627391241491
106,3399,0.0037250472232699394
107,3449,0.0003228445420973003
109,3499,0.004322425462305546
110,3549,0.00019680865807458758
112,3599,0.00031752706854604185
114,3649,0.00017710443353280425
115,3699,0.00016881112242117524
117,3749,0.00017941459373105317
118,3799,7.244971493491903e-05
120,3849,0.004712405148893595
121,3899,0.0009263867395929992
123,3949,0.0007215919904410839
124,3999,0.0029446010012179613
126,4049,0.000966862600762397
128,4099,0.0003784974687732756
129,4149,0.00015376220108009875
131,4199,0.0002662397746462375
132,4249,0.0001965147239388898
134,4299,0.00041235017124563456
135,4349,0.00044564096606336534
137,4399,0.0001869132975116372
139,4449,0.00012549327220767736
140,4499,0.00030031491769477725
142,4549,0.0005782373482361436
143,4599,0.0010243490105494857
145,4649,0.0004741883894894272
146,4699,0.0014884318225085735
148,4749,0.0005207930807955563
149,4799,5.6784225307637826e-05
151,4849,0.00022405775962397456
153,4899,0.00026061717653647065
154,4949,0.01314329169690609
156,4999,0.01173274964094162
157,5049,0.004107975400984287
159,5099,0.0005256805452518165
160,5149,0.0026894770562648773
162,5199,0.003368241945281625
164,5249,0.0009731241734698415
165,5299,7.49926402932033e-05
167,5349,0.002115505049005151
168,5399,0.0013138358481228352
170,5449,0.00012680560757871717
171,5499,0.0001444141671527177
173,5549,0.00015338226512540132
174,5599,4.452720531844534e-05
176,5649,0.00026962050469592214
178,5699,0.0004922928055748343
179,5749,8.519444236299023e-05
181,5799,0.00048986537149176
182,5849,9.592296555638313e-05
184,5899,5.252515620668419e-05
185,5949,0.00026936930953525007
187,5999,0.0013538022758439183
189,6049,0.0006946995854377747
190,6099,6.11020514043048e-05
192,6149,0.0011046207509934902
193,6199,0.00012696272460743785
195,6249,0.0006857533589936793
196,6299,0.00014107616152614355
198,6349,0.00013923700316809118
199,6399,4.3695472413674e-05
201,6449,0.0007490732241421938
203,6499,0.00032346969237551093
204,6549,0.00017659043078310788
206,6599,0.00023536232765763998
207,6649,0.00013270528870634735
209,6699,0.0024504545144736767
210,6749,0.00019575515761971474
212,6799,0.00020607939222827554
214,6849,0.00036649915273301303
215,6899,0.00022214523050934076
217,6949,0.0006566111696884036
218,6999,0.00015088016516529024
220,7049,0.0002967874170280993
221,7099,0.0002293455763719976
223,7149,0.003148891031742096
224,7199,0.0002658017328940332
226,7249,0.0012360350228846073
228,7299,0.00029319169698283076
229,7349,0.00015651906142011285
231,7399,0.0002207766374340281
232,7449,0.00020078002125956118
234,7499,0.0001599814568180591
235,7549,0.0015864124288782477
237,7599,7.73942083469592e-05
239,7649,5.109750054543838e-05
240,7699,0.00021428329637274146
242,7749,0.0008093798533082008
243,7799,6.063050022930838e-05
245,7849,0.00014238509174901992
246,7899,0.0003222936065867543
248,7949,0.0004915334284305573
249,7999,0.00026388969854451716
251,8049,0.0005066167796030641
253,8099,0.00031658352236263454
254,8149,0.00034830908407457173
256,8199,0.0002701921621337533
257,8249,0.0014764657244086266
259,8299,0.0002984536986332387
260,8349,0.0003665803815238178
262,8399,0.0001683325826888904
264,8449,0.00010843253403436393
265,8499,0.00012901359878014773
267,8549,0.00017269128875341266
268,8599,0.0009201173088513315
270,8649,9.864752792054787e-05
271,8699,0.04970419779419899
273,8749,0.0002668270608410239
274,8799,0.0005124753806740046
276,8849,0.0003200200735591352
278,8899,0.0002863923436962068
279,8949,0.00021999140153639019
281,8999,0.00027926574693992734
282,9049,0.0017613267991691828
284,9099,0.00016981711087282747
285,9149,0.00027216094895265996
287,9199,0.00010836176807060838
289,9249,4.4050131691619754e-05
290,9299,0.0006825317395851016
292,9349,0.001229510293342173
293,9399,9.640340431360528e-05
295,9449,0.0003253640898037702
296,9499,0.0002756715111900121
298,9549,0.0008287171367555857
299,9599,2.9194128728704527e-05
301,9649,0.0005431754398159683
303,9699,0.0002612219541333616
304,9749,0.0009896752890199423
306,9799,0.0007241739658638835
307,9849,0.00028047070372849703
309,9899,0.00039590545929968357
310,9949,0.0005754257435910404
312,9999,0.00034952478017657995
314,10049,0.00015554165292996913
315,10099,8.068018360063434e-05
317,10149,0.0001938917557708919
318,10199,0.0002871170290745795
320,10249,0.001031594118103385
321,10299,0.0005499368999153376
