epoch,step,train_loss
24,49,0.2009105682373047
49,99,0.34906473755836487
74,149,0.280865877866745
99,199,0.11965294927358627
124,249,0.2586266100406647
149,299,0.13645969331264496
174,349,0.15981467068195343
199,399,0.1745537668466568
224,449,0.10986073315143585
249,499,0.08074083924293518
274,549,0.02381279319524765
299,599,0.07830876857042313
324,649,0.05884696915745735
349,699,0.08837024122476578
374,749,0.03081998974084854
399,799,0.036187101155519485
424,849,0.04967160522937775
449,899,0.08337405323982239
474,949,0.0890394076704979
499,999,0.030370989814400673
524,1049,0.06434553861618042
549,1099,0.023947009816765785
574,1149,0.01524062268435955
599,1199,0.038964077830314636
624,1249,0.011942421086132526
649,1299,0.013444307260215282
674,1349,0.03649204596877098
699,1399,0.0331488735973835
724,1449,0.038172703236341476
749,1499,0.00215684506110847
774,1549,0.0087105268612504
799,1599,0.013191801495850086
824,1649,0.023831238970160484
849,1699,0.017348086461424828
874,1749,0.005112051498144865
899,1799,0.0012398234102874994
924,1849,0.01727219484746456
949,1899,0.019946616142988205
974,1949,0.005636333953589201
999,1999,0.0007653888314962387
1024,2049,0.0052847713232040405
1049,2099,0.012513349764049053
1074,2149,0.0033256257884204388
1099,2199,0.0022876730654388666
1124,2249,0.009805521927773952
1149,2299,0.008409187197685242
1174,2349,0.0034864209592342377
1199,2399,0.01086370088160038
1224,2449,0.0019086860120296478
1249,2499,0.004655706230551004
1274,2549,0.007351160980761051
1299,2599,0.0024173122365027666
1324,2649,0.002029978670179844
1349,2699,0.005671774037182331
1374,2749,0.0017265558708459139
1399,2799,0.006796286907047033
1424,2849,0.002088023815304041
1449,2899,0.005958217196166515
1474,2949,0.006387049797922373
1499,2999,0.0027610622346401215
1524,3049,0.006092187482863665
1549,3099,0.001507646986283362
1574,3149,0.0024279935751110315
1599,3199,0.005817851983010769
1624,3249,0.0016551733715459704
1649,3299,0.006962973158806562
1674,3349,0.0018236690666526556
1699,3399,0.006554065737873316
1724,3449,0.0008269998361356556
1749,3499,0.0011887949658557773
1774,3549,0.0022274903021752834
1799,3599,0.004704426042735577
1824,3649,0.0013476505409926176
1849,3699,0.0032618551049381495
1874,3749,0.003912419080734253
1899,3799,0.004504804033786058
1924,3849,0.0030815063510090113
1949,3899,0.000728137674741447
1974,3949,0.0028947540558874607
1999,3999,0.00392574118450284
