epoch,step,train_loss
24,49,0.3435021936893463
49,99,0.021214628592133522
74,149,0.006982398685067892
99,199,0.002790333004668355
124,249,0.00025404192274436355
149,299,0.00032063000253401697
174,349,0.001192206982523203
199,399,0.0059193577617406845
224,449,0.0001211261042044498
249,499,8.795987378107384e-05
274,549,0.0005493077333085239
299,599,0.0002977190015371889
324,649,0.0001723945460980758
349,699,4.768131111632101e-05
374,749,0.00010339544678572565
399,799,0.0002400365483481437
424,849,0.0001783212646842003
449,899,0.00024127140932250768
474,949,6.29006462986581e-05
499,999,0.00017861476226244122
524,1049,0.0005576144903898239
549,1099,0.002764614997431636
574,1149,0.000334669544827193
599,1199,0.00016866468649823219
624,1249,6.513824337162077e-05
649,1299,0.00013910370762459934
674,1349,0.00012902228627353907
699,1399,0.00023682547907810658
724,1449,0.00039409068995155394
749,1499,0.0001655053929425776
774,1549,0.00017114765068981797
799,1599,0.0002690794935915619
824,1649,0.00044841220369562507
849,1699,8.194283145712689e-05
874,1749,0.00016912231512833387
899,1799,5.055769725004211e-05
924,1849,0.00012474152026697993
949,1899,0.00040915809222497046
974,1949,6.843600567663088e-05
999,1999,0.00010320809815311804
1024,2049,7.473483128705993e-05
1049,2099,0.0001321843301411718
1074,2149,0.00010112552990904078
1099,2199,7.473228470189497e-05
1124,2249,4.754319161293097e-05
1149,2299,4.0003589674597606e-05
1174,2349,9.671394218457863e-05
1199,2399,0.00014520958939101547
1224,2449,0.0004139119992032647
1249,2499,0.00034624297404661775
1274,2549,5.4019095841795206e-05
1299,2599,0.0022719225380569696
1324,2649,0.0013534285826608539
1349,2699,0.000888340175151825
1374,2749,9.640738426242024e-05
1399,2799,0.00010941657819785178
1424,2849,4.393391645862721e-05
1449,2899,8.702596096554771e-05
1474,2949,0.00019469464314170182
1499,2999,7.781560998409986e-05
1524,3049,0.00019282397988718003
1549,3099,0.0001880270428955555
1574,3149,2.3713755581411533e-05
1599,3199,0.0001541687233839184
1624,3249,7.351796375587583e-05
1649,3299,0.0002432321198284626
1674,3349,3.4429114748490974e-05
1699,3399,9.018220589496195e-05
1724,3449,0.00039862762787379324
1749,3499,0.00017991136701311916
1774,3549,7.615304639330134e-05
1799,3599,7.441131310770288e-05
1824,3649,5.3848012612434104e-05
1849,3699,0.0002870318712666631
1874,3749,0.0014512600610032678
1899,3799,0.00018369569443166256
1924,3849,0.00030870590126141906
1949,3899,0.0002570782962720841
1974,3949,9.433163359062746e-05
1999,3999,0.00019783995230682194
