epoch,step,train_loss
1,49,0.6795692443847656
3,99,0.15431258082389832
4,149,0.024860864505171776
6,199,0.00462217815220356
7,249,0.011584104970097542
9,299,0.001445964677259326
10,349,0.006324387155473232
12,399,0.0013357545249164104
14,449,0.0008461811812594533
15,499,0.0003726512077264488
17,549,0.07700584083795547
18,599,0.00021416376694105566
20,649,0.0006130423280410469
21,699,0.002569070551544428
23,749,0.0021658819168806076
24,799,0.0012592729181051254
26,849,0.00669324304908514
28,899,0.00892522931098938
29,949,0.0010797563008964062
31,999,0.0002743812510743737
32,1049,0.0006566781084984541
34,1099,0.0003953693085350096
35,1149,0.0002068662433885038
37,1199,0.00020424884860403836
39,1249,0.0005976862739771605
40,1299,0.00018443154112901539
42,1349,0.000137739087222144
43,1399,0.0010501189390197396
45,1449,0.0001678450353210792
46,1499,0.0012166484957560897
48,1549,0.001919223228469491
49,1599,0.0012831580825150013
51,1649,0.0006804217700846493
53,1699,0.0002621291496325284
54,1749,0.00013336824486032128
56,1799,0.0007615889189764857
57,1849,0.00020142071298323572
59,1899,0.0005163773312233388
60,1949,0.0010166793363168836
62,1999,0.00021923666645307094
64,2049,0.0005651650717481971
65,2099,0.00018910443759523332
67,2149,0.0009888134663924575
68,2199,0.0021982965990900993
70,2249,0.00012710248120129108
71,2299,0.007668608799576759
73,2349,0.0005539109115488827
74,2399,0.00014139486302156
76,2449,0.001738213119097054
78,2499,0.000755851564463228
79,2549,0.0001496672775829211
81,2599,0.0004260661080479622
82,2649,0.0061141112819314
84,2699,0.0006035050610080361
85,2749,0.003776857629418373
87,2799,0.0024844883009791374
89,2849,0.0005090918275527656
90,2899,0.00019857041479554027
92,2949,0.000977001036517322
93,2999,0.0005542967701330781
95,3049,0.0015162769705057144
96,3099,6.139533797977492e-05
98,3149,0.0018105196068063378
99,3199,0.0005234137643128633
